time,Var0_sys0,Var1_sys0,Var2_sys0,Var3_sys0,Var4_sys0,Var0_sys1,Var1_sys1,Var2_sys1,Var3_sys1,Var4_sys1,Var0_sys2,Var1_sys2,Var2_sys2,Var3_sys2,Var4_sys2,Var0_sys3,Var1_sys3,Var2_sys3,Var3_sys3,Var4_sys3
0.0244976,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734,1.01217,1.00977,1.00249,0.997634,1.00734
0.0249975,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749,1.01242,1.00996,1.00254,0.997587,1.00749
0.0254975,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764,1.01267,1.01016,1.00259,0.997541,1.00764
0.0259974,1.01291,1.01036,1.00264,0.997494,1.00779,1.01291,1.01036,1.00264,0.997494,1.00779,1.01291,1.01036,1.00264,0.997494,1.00779,1.01291,1.01036,1.00264,0.997494,1.00779
0.0264974,1.01316,1.01056,1.00269,0.997448,1.00794,1.01316,1.01056,1.00269,0.997448,1.00794,1.01316,1.01056,1.00269,0.997448,1.00794,1.01316,1.01056,1.00269,0.997448,1.00794
0.0269973,1.01341,1.01076,1.00274,0.997402,1.00808,1.01341,1.01076,1.00274,0.997402,1.00808,1.01341,1.01076,1.00274,0.997402,1.00808,1.01341,1.01076,1.00274,0.997402,1.00808
0.0274973,1.01365,1.01096,1.00279,0.997356,1.00823,1.01365,1.01096,1.00279,0.997356,1.00823,1.01365,1.01096,1.00279,0.997356,1.00823,1.01365,1.01096,1.00279,0.997356,1.00823
0.0279972,1.0139,1.01116,1.00285,0.997309,1.00838,1.0139,1.01116,1.00285,0.997309,1.00838,1.0139,1.01116,1.00285,0.997309,1.00838,1.0139,1.01116,1.00285,0.997309,1.00838
0.0284972,1.01415,1.01135,1.0029,0.997263,1.00853,1.01415,1.01135,1.0029,0.997263,1.00853,1.01415,1.01135,1.0029,0.997263,1.00853,1.01415,1.01135,1.0029,0.997263,1.00853
0.0289971,1.01439,1.01155,1.00295,0.997217,1.00868,1.01439,1.01155,1.00295,0.997217,1.00868,1.01439,1.01155,1.00295,0.997217,1.00868,1.01439,1.01155,1.00295,0.997217,1.00868
0.0294971,1.01464,1.01175,1.003,0.997171,1.00883,1.01464,1.01175,1.003,0.997171,1.00883,1.01464,1.01175,1.003,0.997171,1.00883,1.01464,1.01175,1.003,0.997171,1.00883
0.029997,1.01489,1.01195,1.00305,0.997125,1.00898,1.01489,1.01195,1.00305,0.997125,1.00898,1.01489,1.01195,1.00305,0.997125,1.00898,1.01489,1.01195,1.00305,0.997125,1.00898
0.030497,1.01513,1.01215,1.00311,0.99708,1.00913,1.01513,1.01215,1.00311,0.99708,1.00913,1.01513,1.01215,1.00311,0.99708,1.00913,1.01513,1.01215,1.00311,0.99708,1.00913
0.0309969,1.01538,1.01235,1.00316,0.997034,1.00928,1.01538,1.01235,1.00316,0.997034,1.00928,1.01538,1.01235,1.00316,0.997034,1.00928,1.01538,1.01235,1.00316,0.997034,1.00928
0.0314969,1.01563,1.01254,1.00321,0.996988,1.00943,1.01563,1.01254,1.00321,0.996988,1.00943,1.01563,1.01254,1.00321,0.996988,1.00943,1.01563,1.01254,1.00321,0.996988,1.00943
0.0319968,1.01587,1.01274,1.00326,0.996943,1.00958,1.01587,1.01274,1.00326,0.996943,1.00958,1.01587,1.01274,1.00326,0.996943,1.00958,1.01587,1.01274,1.00326,0.996943,1.00958
0.0324968,1.01612,1.01294,1.00331,0.996897,1.00973,1.01612,1.01294,1.00331,0.996897,1.00973,1.01612,1.01294,1.00331,0.996897,1.00973,1.01612,1.01294,1.00331,0.996897,1.00973
