stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420543776,420544969,0.138,0.304,0.138,-74.66636905,40.37005952380954,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543562,420544969,0.433,0.443,0.151,-74.66288043,40.36994565217391,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548711,420548264,0.236,0.513,0.236,-74.76180556,40.34983796296296,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548483,420548264,0.04,0.188,0.04,-74.76416667,40.35249999999999,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548484,420548062,0.125,0.234,0.125,-74.75243421,40.35160087719299,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548264,420546826,0.3619999999999999,0.21,0.086,-74.76314394,40.35261363636364,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548061,420547440,0.118,0.326,0.118,-74.75819444,40.35254629629632,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547869,420548062,6.177,0.4,0.177,-74.75365741,40.35408950617283,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548062,420547870,6.321999999999999,0.117,0.02,-74.75069444,40.35458333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548060,420547647,0.164,0.304,0.164,-74.76591667,40.35358333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547440,420547869,4.226,0.259,0.125,-74.7566886,40.35493421052632,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547647,420546826,3.398,0.188,0.04,-74.76277778,40.356388888888894,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546826,420547440,3.983,0.63,0.223,-74.75936275,40.35767156862746,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546419,420547869,1.774,0.744,0.263,-74.75389583,40.3593125,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547028,420547647,3.194,0.35,0.099,-74.76308333,40.35836111111112,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546825,420547028,2.372,0.259,0.125,-74.76633772,40.35809210526316,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545822,420547028,0.7230000000000001,0.652,0.21,-74.76057292,40.36174479166665,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546624,420546825,0.204,0.446,0.204,-74.77033602,40.35952956989247,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
